Province,Ho Chi Minh,Ha Noi,Hai Phong ,Can Tho,Dong Nai,Quang Nam ,Bac Ninh,Hai Duong,Nghe An,Hue,Thanh Hoa,Khanh Hoa ,Nam Dinh,Dak Lak,Thai Nguyen,Vung Tau,Ca Mau,Binh Dinh,Soc Trang,An Giang,Phu Tho,Thai Binh,Quang Ngai,Lam Dong,Binh Duong,Phu Yen,Bac Lieu,Dong Thap,Binh Thuan,Ninh Thuan,Quang Ninh,Ha Tinh,Quang Binh,Lang Son,Gia Lai,Long An,Tra Vinh,Ninh Binh,Tay Ninh,Tien Giang,Haa Binh,Kon Tum,Vinh Long,Hau Giang,Yen Bai,Quang Tri,Lao Cai,Ben Tre,Bac Giang,Cao Bang,Binh Phuoc,Ha Giang,Tuyen Quang,Bac Kan,Son La,Ha Nam,Hung Yen,Kien Giang,Lai Chau,Da Nang,Dak Nong,Dien Bien,Vinh Phuc,Latitude,Longitude
Ho Chi Minh,0.0,394.83387586805554,379.861468875,42.31014188333334,10.398429598958334,203.30069061944442,395.01193608333335,385.32331070138883,301.3822315534722,218.52870128055557,343.7528479097222,102.24863394861111,365.8872344166666,88.90287913888889,411.1492064652778,22.992927042361114,81.72020045972222,148.66304836249998,50.65971762152777,56.83214383680556,401.86677406944443,366.62995021527786,182.9489034916667,79.34108658194444,7.033471256388889,132.17204119583332,65.82845165555554,39.308172910416666,56.687395897222224,92.19604085416667,388.4597564652778,288.13753985625004,254.33165555,419.5391953958333,131.5627086375,12.49557809111111,33.26227270527778,360.0155964027779,29.079401680486114,19.095488765694444,383.4752682152777,145.6744605409722,31.454361896319444,57.31414938472223,418.91216315277774,229.26525042847223,451.4485177222222,22.293575433888883,398.10084538194434,450.98029277777783,33.59597908284722,460.36820890277784,421.9616553541667,431.997174875,411.90772952777775,372.5907729930555,382.5293494166666,86.17384002986111,455.4895126736111,208.29730133333337,67.16296750625,437.0965061944445,403.0590029375,10.7638,106.6436
Ha Noi,394.83387586805554,0.0,43.006299447222226,420.43177905555547,389.61527140277775,223.4572784208334,20.24626850652778,30.12551483520833,93.53160979652777,192.0505203409722,51.27679558263888,373.1216839097222,35.91466395902777,333.59143990277784,21.29258552166667,410.60651070833336,452.66648384027775,309.5998155833333,437.0407261597222,395.3276978680555,7.695235798541666,39.54406653263889,256.5897892784722,364.16049040972223,390.0644894513889,334.29469161180555,448.7629127916667,404.1750987361111,397.9289778819445,383.75306452777784,62.62418771388887,106.7507943736111,143.75511162152776,51.65134739722222,285.94788747291665,402.75529379166676,425.04906266666666,37.37850421666667,372.48905035416664,409.4774493055556,13.504668315833332,270.7829313048611,412.27365404166665,429.773873375,30.9508520825,173.52188914375,71.88887282013889,413.97438075,24.866703157916668,63.712951993055555,361.29218727777777,66.35259819027777,28.030785187222218,40.094987484027776,56.57938206666667,25.676793942916667,21.075930449583332,426.61160767361105,90.06751522222223,215.3539540201389,344.3927113472222,88.12144684097221,8.560230695625,21.1382,105.505
Hai Phong ,379.861468875,43.006299447222226,0.0,408.777434625,373.7287986736111,195.67537186944443,25.471739879444446,13.00282111625,87.66012014374999,167.43570605902778,49.09044491458333,348.0708725277778,22.77312023243055,311.88552773680556,41.80150116041666,393.8505979722222,443.14941800694453,281.7497432263889,424.6652398819444,386.4094705625,48.95389130625001,17.65087513826389,228.16196904861107,341.6757746597222,374.5759566111111,307.17552649583337,437.27132764583337,393.15088239583326,377.2034342708334,359.58001124305554,22.84884772819444,96.86876459652778,125.55655708263889,39.78807935277778,262.99156217152773,388.74371044444445,411.3289605833334,32.0678052620139,359.6672261388889,395.69040301388884,47.0318952638889,247.44290605902776,399.9109924930555,419.2425847847223,72.0552170673611,151.94477078958332,112.22445193749999,400.0725148680556,24.467556116597223,72.39273788055556,346.31204134722225,96.75657487708335,64.28097513541667,58.8959222638889,99.24540809166668,27.578229820069446,23.069864565902776,419.7335307569445,132.15201891111113,187.88188426874999,324.8579880923611,131.12773584166666,44.86746379305555,20.8,106.6667
Can Tho,42.31014188333334,420.43177905555547,408.777434625,0.0,52.687417144444446,240.34443177013887,422.25735470138886,413.2854812430556,327.03273151111114,252.31916440208337,369.9441771666667,143.49453329652775,393.37714295833337,130.4157769347222,437.7952060416667,52.509756755555564,39.91929965138888,190.52378501041667,17.844716473888884,35.393414140972226,427.1823821319444,394.6408400277777,222.30703819722217,121.46039395000001,49.281662820833326,174.47465450138893,28.495341913402783,17.10236570826389,94.78326831458335,132.5068196423611,418.9578263888889,314.5500094479167,283.56668163541667,448.5655077847222,170.40934888055557,29.853538467083336,21.110105458750002,386.90309350000007,49.81848494097222,24.276323506944443,408.49439701388894,183.66672279861112,11.026440494513889,15.009643130902777,442.8271467083333,260.7983538513888,473.2633816944445,23.602022406666663,425.67873716666674,478.7029288611111,68.32107559861112,484.95445843055563,446.89764578472216,458.66270401388886,432.82716579861113,399.3481893819444,409.5874478402778,48.115976163888895,475.40274891666667,244.706900375,108.31591599791666,455.9926490972222,428.8238892777778,10.0333,105.7833
Dong Nai,10.398429598958334,389.61527140277775,373.7287986736111,52.687417144444446,0.0,194.95312629722224,389.33367384722226,379.45458750694445,296.2988678368056,211.20938079305552,338.4394879930556,92.07099043819444,360.1758345694445,79.05378794444444,405.6204925694445,22.274550391041668,91.97052236944445,138.57532652152776,60.326470934722224,65.67939338333333,396.7178601944444,360.77017768750005,173.82852940833337,68.95554154999999,3.831259336041667,121.82223625347221,75.59260597777777,49.22059725138888,47.94796135694445,82.32225250277777,381.86582136111116,282.8658135722223,248.31783828541666,413.33463777083335,122.74981108541668,22.84034840597222,42.32159345555555,354.4820774444444,32.16159561076389,29.146548003611112,378.4316148472223,137.13781202430556,41.851494227083336,67.69519853055554,414.12849800000004,222.6229039708333,447.1987497638889,31.876334723333333,392.32583604861105,445.1133856458333,29.107300364722224,455.3578030555555,416.8944050833333,426.44158039583334,407.9460257638888,367.07681796527777,376.9183961666667,96.26501269583332,451.74503441666667,200.15189263611109,57.59146981874999,433.64424011805556,397.7842390277777,10.9277,106.8681
Quang Nam ,203.30069061944442,223.4572784208334,195.67537186944443,240.34443177013887,194.95312629722224,0.0,216.60664858194443,204.63098433750005,142.4804845576389,34.91795114791667,174.9320598715278,152.91779655833335,188.7131154027778,121.97471874097224,234.13267675972222,211.76250095972222,279.3018834375,86.29893706388889,253.06758295,228.9690228680555,231.14307331111112,187.13230932083337,33.19643132701389,149.43592624722223,196.86684532083333,111.51775090069444,267.62396347361107,227.8868541930555,187.09196554513892,165.0287361236111,197.91968062222222,128.11254272152777,87.40262769583333,232.88826265347222,73.0790800638889,214.42880240833335,236.54207610833328,186.08496477569446,191.34450952361112,221.60546919583334,215.69660237708334,57.965802494444446,229.8627079048611,253.6724787625,252.91912217152776,57.171213424305556,292.09866542013884,225.39124176041665,218.1281369993055,267.7299351270833,172.2062092673611,288.7693212881944,251.3421881784722,253.6617368395833,260.06871319236114,198.0455305548611,205.8353849416667,266.5190683604167,304.21111387916665,8.203358145694445,139.3011402125,292.0671648513889,230.30412072986113,15.8777,108.3327
Bac Ninh,395.01193608333335,20.24626850652778,25.471739879444446,422.25735470138886,389.33367384722226,216.60664858194443,0.0,12.94984258847222,96.08383965347222,186.7855633048611,53.25085776597222,368.0564283472222,29.178282496319444,330.25763581805563,17.578862822500003,409.9183747847222,455.54712238194446,302.89774210694446,438.5392465416666,398.4169961041667,24.523348326458336,29.545841469861113,249.46523303819444,360.46283573611106,389.98092029166673,328.0380873097222,450.7000757291666,406.2807542986111,395.19788019444445,379.1770103333334,42.776649105555556,107.77601664374998,141.38939029444438,34.6851479625,281.86538033402775,403.4159430972222,425.88044974999997,35.464646563888884,373.68428115277766,410.25668881944443,29.599248407361113,266.4624793493055,413.7479486875,432.14747659027785,46.842142865972214,169.72234332569445,86.76439633263888,414.7032809305556,5.319026542083333,56.61095855138889,361.41610691666665,72.86984717152778,38.84623187569444,37.48718853055555,76.45511503680557,23.442535641388883,12.796439254861108,430.69289049305553,106.9724596548611,208.64795632430554,342.2014180763889,107.12923399791666,19.791205281944446,21.1861,106.0763
Hai Duong,385.32331070138883,30.12551483520833,13.00282111625,413.2854812430556,379.45458750694445,204.63098433750005,12.94984258847222,0.0,88.75183796597221,175.33355838541667,47.159981808333335,356.4629279652778,20.50276900048611,319.2542457027777,30.19774155319444,399.8554979513889,447.05539345833336,290.8828078673611,429.40365115277774,390.07609462500005,35.95165667916667,18.69413824541667,237.38196734583335,349.31115134027783,380.1847684930555,316.12624835555556,441.7591842222222,397.45408315277774,384.3602844375,367.7276825833333,33.391524983541665,99.44740524930555,131.18190568194441,37.51203428680556,270.6524678520833,393.9304785208333,416.45315804166665,28.864285569097223,364.46468104861106,400.8181560347222,35.43444163680555,255.18784793055556,404.6201881944445,423.42726747222224,59.10011911319443,158.8257299270834,99.42304047569446,405.23902348611114,13.497155962499999,65.6615216201389,351.73416969444446,85.55946591597221,51.72161445208334,49.031104383333336,86.56912558194445,19.757354469027778,11.581150204166669,422.82834319444447,119.17189311805556,196.72271760555557,331.6025611402777,118.22051857777777,31.917303211597225,20.9399,106.3309
Nghe An,301.3822315534722,93.53160979652777,87.66012014374999,327.03273151111114,296.2988678368056,142.4804845576389,96.08383965347222,88.75183796597221,0.0,108.10545235486111,43.03369527916667,285.0463991520834,68.25680600763889,243.02213817291667,110.91458312083334,317.4416524027777,359.7377517708334,225.78340063611114,343.5687212222222,302.5150005888889,100.4913353111111,70.99013904791668,175.15585981736112,273.927418275,296.68266203819445,249.04211606458333,355.4036262291667,310.86169288125,306.35897246111114,294.7584813784722,104.80428900763887,14.66176712048611,55.636881494444445,125.96638457569442,196.92898497708333,309.2321466013889,331.5176973256945,60.66938464027778,278.9673457034722,315.94767979930555,82.13353308611111,182.3884046395833,318.7930969027778,336.5757637375,118.25035290833334,86.82268560972223,154.01184756319444,320.44637806805554,100.00996390486111,152.6710548125,267.86768106875,159.06201463055555,120.59909981875003,131.74384139097222,118.68672581111109,72.76660328680555,83.29058621527777,334.6112677152778,163.3338085652778,134.3296474770833,252.43359849166666,149.87965826944443,101.85255119375002,18.6733,105.6922
Hue,218.52870128055557,192.0505203409722,167.43570605902778,252.31916440208337,211.20938079305552,34.91795114791667,186.7855633048611,175.33355838541667,108.10545235486111,0.0,142.38962532083335,181.3154683472222,158.20873839652776,144.69352508333336,204.1296551972222,229.94074442013886,289.8836334527778,118.28123478402776,266.5456449736111,236.36130632916667,199.6887720625,157.25138313402778,67.0718509513889,174.2561791541667,212.59591824236114,142.4286829486111,280.41765954513886,238.36417887916664,210.19885852291665,192.40590168819443,172.42726170833333,93.610843375,52.68465024375,205.94568976041668,95.58916811597223,228.70532763263887,251.28331127569444,154.74781119583335,202.52540492916668,235.8591171368055,183.52378585138885,80.01401858819445,242.3982884798611,264.63166975486115,220.82590845972223,22.282477845833334,259.35033504722225,239.96598857291667,188.76840342986114,239.82843621527775,185.77279384027776,257.99932429930556,220.06678582777778,224.18713866111108,226.27861229652774,167.0181401048611,175.43372639722216,272.9943111388889,270.64985400833336,27.082182434027782,158.93161542222225,257.9346778506944,199.25986413958336,16.4637,107.5908
