Province,Ho Chi Minh,Ha Noi,Hai Phong ,Can Tho,Dong Nai,Quang Nam ,Bac Ninh,Hai Duong,Nghe An,Hue,Thanh Hoa,Khanh Hoa ,Nam Dinh,Dak Lak,Thai Nguyen,Vung Tau,Ca Mau,Binh Dinh,Soc Trang,An Giang,Phu Tho,Thai Binh,Quang Ngai,Lam Dong,Binh Duong,Phu Yen,Bac Lieu,Dong Thap,Binh Thuan,Ninh Thuan,Quang Ninh,Ha Tinh,Quang Binh,Lang Son,Gia Lai,Long An,Tra Vinh,Ninh Binh,Tay Ninh,Tien Giang,Haa Binh,Kon Tum,Vinh Long,Hau Giang,Yen Bai,Quang Tri,Lao Cai,Ben Tre,Bac Giang,Cao Bang,Binh Phuoc,Ha Giang,Tuyen Quang,Bac Kan,Son La,Ha Nam,Hung Yen,Kien Giang,Lai Chau,Da Nang,Dak Nong,Dien Bien,Vinh Phuc,Latitude,Longitude
Ho Chi Minh,0,1160.328125,1116.327582,124.3400088,30.55865025,597.4550908,1160.851404,1132.378709,885.6947213,642.2067956,1010.212451,300.4857814,1075.260444,261.265604,1208.275219,67.5710509,240.1573238,436.8873258,148.8775375,167.0169125,1180.996234,1077.443119,537.6457572,233.1656422,20.66979308,388.4239578,193.4550416,115.5178959,166.5915308,270.943467,1141.596019,846.7715457,747.4236408,1232.931513,386.6332662,36.72169888,97.75035244,1058.005018,85.45783351,56.11735474,1126.947727,428.1045371,92.43730843,168.4334186,1231.088806,673.7591033,1326.705848,65.51581352,1169.929015,1325.32984,98.73104057,1352.918818,1240.050579,1269.542718,1210.504348,1094.960639,1124.167884,253.2455707,1338.581425,612.139008,197.3768841,1284.528508,1184.499927,10.7638,106.6436
Ha Noi,1160.328125,0,126.3858596,1235.554616,1144.991818,656.6907774,59.49923806,88.53212523,274.8684043,564.3933659,150.6909911,1096.520867,105.5451349,980.350354,62.57412888,1206.680358,1330.285177,909.844356,1284.364583,1161.779357,22.61457051,116.2111343,754.0597889,1070.185931,1146.311969,982.4170529,1318.813458,1187.779882,1169.423935,1127.764108,184.0384292,313.7166202,422.4640015,151.7917148,840.3366489,1183.607394,1249.123776,109.8470328,1094.661699,1203.3623,39.68718852,795.7702471,1211.579718,1263.008934,90.95760612,509.9418783,211.2652589,1216.577772,73.07765826,187.238063,1061.756632,194.9953906,82.37618504,117.8301673,166.2741024,75.45833322,61.93742826,1253.715745,264.688208,632.8769261,1012.092866,258.9691499,25.15659633,21.1382,105.505
Hai Phong ,1116.327582,126.3858596,0,1201.305114,1098.305041,575.0459908,74.85572536,38.21237226,257.6134143,492.0559525,144.2657973,1022.902156,66.92508803,916.5615509,122.8452279,1157.438492,1302.316657,827.9992454,1247.995807,1135.570689,143.8644969,51.87195959,670.516807,1004.108399,1100.794648,902.7199146,1285.042269,1155.382185,1108.516215,1056.724931,67.14763414,284.6755531,368.9825351,116.9282332,772.8731623,1142.430496,1208.803476,94.24008077,1056.981236,1162.845266,138.216182,727.1791525,1175.248631,1232.059841,211.7541073,446.5315713,329.802471,1175.723309,71.90465471,212.7460052,1017.733346,284.3458527,188.9073555,173.081894,291.6599748,81.04622641,67.79715301,1233.502621,388.3651168,552.1426803,954.6846997,385.3549788,131.8554038,20.8,106.6667
Can Tho,124.3400088,1235.554616,1201.305114,0,154.8364912,706.3183301,1240.919573,1214.553251,961.0757824,741.5093811,1087.182888,421.6982203,1156.047114,383.2626914,1286.58183,154.3143872,117.3138602,559.9066335,52.44161576,104.0132987,1255.393123,1159.760836,653.3104796,356.9448312,144.8277438,512.7418418,83.74141297,50.26001351,278.5467477,389.4077965,1231.223,924.3918645,833.3388195,1318.233329,500.7948212,87.73284774,62.03786094,1137.021336,146.4053435,71.342665,1200.47333,539.755267,32.40423329,44.10997165,1301.369574,766.4278154,1390.814836,69.36104544,1250.974248,1406.800444,200.7803038,1425.172286,1313.331857,1347.906722,1271.981875,1173.594679,1203.685561,141.4020524,1397.101956,719.138646,318.3161613,1340.06003,1260.217144,10.0333,105.7833
Dong Nai,30.55865025,1144.991818,1098.305041,154.8364912,0,572.9234732,1144.164266,1115.131849,870.7558565,620.6969558,994.597679,270.5759719,1058.475922,232.321336,1192.02757,65.45990319,270.2807188,407.2417759,177.2859554,193.0169928,1165.864732,1060.222563,510.8430252,202.6448568,11.25921111,358.0082045,222.1496992,144.6482858,140.9082946,241.9266196,1122.217924,831.2791256,729.7503819,1214.697711,360.7341387,67.12265654,124.3736624,1041.743248,94.51570955,85.65516148,1112.125562,403.0172435,122.9921463,198.9409916,1217.030688,654.2387382,1314.216734,93.67739184,1152.957559,1308.088317,85.53982148,1338.19436,1225.159068,1253.216073,1198.86179,1078.756363,1107.678552,282.9012618,1327.577244,588.2014804,169.2484011,1274.383073,1168.99858,10.9277,106.8681
Quang Nam ,597.4550908,656.6907774,575.0459908,706.3183301,572.9234732,0,636.5583142,601.3645254,418.7181587,102.6160197,514.0860535,449.3910756,554.585482,358.4563163,688.0633766,622.3224518,820.805535,253.6132028,743.7088152,672.888557,679.2776032,549.9398478,97.55685941,439.1586404,578.5474638,327.7256353,786.4867498,669.7083062,549.8212865,484.9824082,581.6415104,376.4940031,256.8567018,684.4063229,214.7630108,630.1581132,695.1440604,546.8619373,562.3185586,651.2487258,633.8838927,170.3484808,675.5148967,745.4864682,743.2725223,168.0133619,858.4124045,662.3742615,641.0296271,786.7981767,506.0753905,848.6282095,738.6382673,745.4549001,764.2835653,582.0113551,604.9039884,783.2397111,894.0081714,24.10782802,409.3747794,858.3198314,676.8121099,15.8777,108.3327
Bac Ninh,1160.851404,59.49923806,74.85572536,1240.919573,1144.164266,636.5583142,0,38.05668026,282.3688349,548.9208391,156.4923167,1081.635218,85.74842203,970.5530522,51.66033156,1204.658081,1338.750727,890.1484666,1288.768398,1170.858111,72.06861549,86.82859534,733.1223175,1059.319354,1146.066378,964.0302974,1324.506345,1193.967931,1161.397852,1114.316112,125.7109688,316.7295183,415.5116776,101.9318634,828.3390769,1185.548894,1251.567036,104.2226348,1098.174214,1205.65231,86.98554634,783.0734087,1215.912339,1269.984421,137.6585423,498.7758661,254.9810831,1218.719846,15.63142494,166.3668986,1062.120804,214.1481223,114.1603549,110.1664316,224.6844197,68.89234964,37.6058623,1265.709719,314.3680447,613.1695043,1005.653147,314.8287693,58.1619094,21.1861,106.0763
Hai Duong,1132.378709,88.53212523,38.21237226,1214.553251,1115.131849,601.3645254,38.05668026,0,260.8217279,515.2659675,138.5925996,1047.564523,60.25303543,938.2165588,88.74438334,1175.085545,1313.795442,854.8392721,1261.920934,1146.346074,105.6538482,54.93787566,697.6123122,1026.547057,1117.277687,929.0240768,1298.231072,1168.028326,1129.548591,1080.669108,98.13019587,292.2535991,385.5141718,110.2394477,795.3868443,1157.673243,1223.862342,84.82565555,1071.079879,1177.914581,104.1338693,749.939798,1189.0879,1244.357684,173.6819827,466.7531655,292.1819965,1190.906518,39.6651114,192.9644717,1033.667764,251.4400631,151.9982139,144.0914088,254.4072262,58.06242946,34.0344006,1242.59758,350.219441,578.1239048,974.5054858,347.4235648,93.79778903,20.9399,106.3309
Nghe An,885.6947213,274.8684043,257.6134143,961.0757824,870.7558565,418.7181587,282.3688349,260.8217279,0,317.6976559,126.4663698,837.6873771,200.5914299,714.1875081,325.9530606,932.889754,1057.188495,663.5267284,1009.671344,889.0236752,295.3214752,208.6240821,514.7437513,805.0111884,871.8837415,731.8788717,1044.451473,913.5527301,900.3202456,866.2290065,307.9962779,43.08764215,163.5043048,370.1869261,578.7300783,908.7638594,974.2560901,178.2937018,819.8224037,928.4993039,241.3720156,535.9985769,936.861346,989.1206118,347.5112412,255.1523822,452.6062459,941.7199682,293.9068327,448.665957,787.2029811,467.4475532,354.4136811,387.1655747,348.7936432,213.8447117,244.772335,983.347399,480.0013966,394.7646783,741.8456772,440.4626692,299.3217831,18.6733,105.6922
Hue,642.2067956,564.3933659,492.0559525,741.5093811,620.6969558,102.6160197,548.9208391,515.2659675,317.6976559,0,418.4511438,532.845458,464.9399659,425.221788,599.8912316,675.7442285,851.9029228,347.6019961,783.3178138,694.6128186,586.840473,462.1265137,197.109113,512.0997918,624.7716781,418.5659254,824.0845505,700.4988114,617.7272577,565.4377519,506.725014,275.101254,154.8283599,605.2281495,280.9151063,672.1136159,738.4652413,454.7690778,595.1767002,693.1369973,539.3352074,235.1432383,712.3541539,777.6930703,648.9577718,65.4832002,762.1724132,705.2061705,554.7479611,704.801935,545.944537,758.2020959,646.7268808,658.8356728,664.9820443,490.8288199,515.5603388,802.268996,795.3791628,79.5884545,467.0643392,758.0121145,585.5800089,16.4637,107.5908
Thanh Hoa,1010.212451,150.6909911,144.2657973,1087.182888,994.597679,514.0860535,156.4923167,138.5925996,126.4663698,418.4511438,0,948.6696138,79.47894452,830.4954599,199.5264672,1056.12559,1183.645115,765.6636852,1135.572708,1015.489951,172.174716,92.39648602,611.6304101,920.6044548,996.025543,837.0061437,1170.622597,1039.801035,1019.065992,979.1621824,205.4404829,163.4519364,272.7008822,248.8188633,691.4246927,1033.88327,1099.577254,53.81584452,945.4508918,1053.753468,121.3126121,647.2556485,1062.737189,1115.472846,230.787887,361.5850513,344.3263605,1066.925009,168.739933,322.4986752,911.5787591,345.356484,232.189624,260.7893102,257.2447503,87.66262579,118.920842,1109.58294,382.8242516,490.039272,861.5384619,355.405201,174.4193839,19.8075,105.7764
Khanh Hoa ,300.4857814,1096.520867,1022.902156,421.6982203,270.5759719,449.3910756,1081.635218,1047.564523,837.6873771,532.845458,948.6696138,0,997.7841324,144.8109745,1132.698562,274.9369119,531.2756774,206.696764,431.0709411,458.7831002,1118.854389,994.8117331,358.6561318,78.04299299,281.6526924,131.8311231,474.760189,415.078892,152.2192952,42.07560871,1031.028668,794.7662456,676.9255597,1133.532599,259.2146955,335.4018299,376.2492753,987.1941772,337.945023,350.3576967,1069.975198,301.8325001,391.3073517,465.3150535,1179.410171,587.084631,1289.591172,353.9377242,1087.144317,1235.280174,277.779701,1290.803859,1178.897028,1191.401704,1185.447114,1023.465962,1048.405475,553.4662242,1316.927894,471.4959873,170.6195114,1273.135869,1118.094226,11.9136,109.1369
Nam Dinh,1075.260444,105.5451349,66.92508803,1156.047114,1058.475922,554.585482,85.74842203,60.25303543,200.5914299,464.9399659,79.47894452,997.7841324,0,885.3857773,135.3483304,1118.919485,1254.625784,808.1375818,1203.691079,1086.99294,127.8432881,18.35684179,651.632692,974.3836587,1060.414911,881.4608146,1239.680835,1109.296282,1075.991548,1030.035143,132.2964522,232.6491563,329.789709,170.1825663,743.578915,1100.108135,1166.180505,27.34557115,1012.988183,1120.253374,97.13594554,698.4637502,1130.840168,1185.478784,196.2725971,413.6124207,316.3746584,1133.298896,94.92984325,250.7544084,976.5295825,294.0454012,185.2048285,195.6073446,255.0719866,31.36895265,50.62685166,1182.8139,366.7102016,530.9688538,920.0469348,352.9247114,122.9430512,20.42,106.1683
