,Unnamed: 0,start,end,cost1
0,0,Ha Noi,Quang Nam,739.4564656
1,1,Ha Noi,Nghe An,492.4471959
2,2,Ha Noi,Hue,679.5971208
3,3,Ha Noi,Dak Lak,950.3410069
4,4,Ha Noi,Binh Dinh,943.4047337
5,5,Ha Noi,Quang Ngai,796.3646336
6,6,Ha Noi,Phu Yen,965.4338831
7,7,Ha Noi,Ha Tinh,517.5816539
8,8,Ha Noi,Quang Binh,587.9313064
9,9,Ha Noi,Gia Lai,865.6509417
10,10,Hai Phong,Quang Nam,839.2583663
11,11,Hai Phong,Nghe An,592.2490966
12,12,Hai Phong,Hue,779.3990215
13,13,Hai Phong,Dak Lak,1050.142908
14,14,Hai Phong,Binh Dinh,1043.206634
15,15,Hai Phong,Quang Ngai,896.1665343
16,16,Hai Phong,Phu Yen,1065.235784
17,17,Hai Phong,Ha Tinh,617.3835545
18,18,Hai Phong,Quang Binh,687.733207
19,19,Hai Phong,Gia Lai,965.4528424
20,20,Bac Ninh,Quang Nam,774.1643545
21,21,Bac Ninh,Nghe An,527.1550848
22,22,Bac Ninh,Hue,714.3050097
23,23,Bac Ninh,Dak Lak,985.0488957
24,24,Bac Ninh,Binh Dinh,978.1126226
25,25,Bac Ninh,Quang Ngai,831.0725225
26,26,Bac Ninh,Phu Yen,1000.141772
27,27,Bac Ninh,Ha Tinh,552.2895427
28,28,Bac Ninh,Quang Binh,622.6391952
29,29,Bac Ninh,Gia Lai,900.3588306
30,30,Hai Duong,Quang Nam,796.3640846
31,31,Hai Duong,Nghe An,549.354815
32,32,Hai Duong,Hue,736.5047398
33,33,Hai Duong,Dak Lak,1007.248626
34,34,Hai Duong,Binh Dinh,1000.312353
35,35,Hai Duong,Quang Ngai,853.2722526
36,36,Hai Duong,Phu Yen,1022.341502
37,37,Hai Duong,Ha Tinh,574.4892729
38,38,Hai Duong,Quang Binh,644.8389254
39,39,Hai Duong,Gia Lai,922.5585608
40,40,Thanh Hoa,Quang Nam,786.827436
41,41,Thanh Hoa,Nghe An,539.8181663
42,42,Thanh Hoa,Hue,726.9680912
43,43,Thanh Hoa,Dak Lak,997.7119772
44,44,Thanh Hoa,Binh Dinh,990.7757041
45,45,Thanh Hoa,Quang Ngai,843.735604
46,46,Thanh Hoa,Phu Yen,1012.804853
47,47,Thanh Hoa,Ha Tinh,564.9526242
48,48,Thanh Hoa,Quang Binh,635.3022767
49,49,Thanh Hoa,Gia Lai,913.0219121
50,50,Nam Dinh,Quang Nam,798.2915655
51,51,Nam Dinh,Nghe An,551.2822958
52,52,Nam Dinh,Hue,738.4322207
53,53,Nam Dinh,Dak Lak,1009.176107
54,54,Nam Dinh,Binh Dinh,1002.239834
55,55,Nam Dinh,Quang Ngai,855.1997335
56,56,Nam Dinh,Phu Yen,1024.268983
57,57,Nam Dinh,Ha Tinh,576.4167537
58,58,Nam Dinh,Quang Binh,646.7664062
59,59,Nam Dinh,Gia Lai,924.4860416
60,60,Thai Nguyen,Quang Nam,926.3932804
61,61,Thai Nguyen,Nghe An,679.3840107
62,62,Thai Nguyen,Hue,866.5339356
63,63,Thai Nguyen,Dak Lak,1137.277822
64,64,Thai Nguyen,Binh Dinh,1130.341548
65,65,Thai Nguyen,Quang Ngai,983.3014484
66,66,Thai Nguyen,Phu Yen,1152.370698
67,67,Thai Nguyen,Ha Tinh,704.5184686
68,68,Thai Nguyen,Quang Binh,774.8681211
69,69,Thai Nguyen,Gia Lai,1052.587757
70,70,Phu Tho,Quang Nam,726.2646328
71,71,Phu Tho,Nghe An,479.2553631
72,72,Phu Tho,Hue,666.405288
73,73,Phu Tho,Dak Lak,937.1491741
74,74,Phu Tho,Binh Dinh,930.2129009
75,75,Phu Tho,Quang Ngai,783.1728008
76,76,Phu Tho,Phu Yen,952.2420503
77,77,Phu Tho,Ha Tinh,504.3898211
78,78,Phu Tho,Quang Binh,574.7394736
79,79,Phu Tho,Gia Lai,852.4591089
80,80,Thai Binh,Quang Nam,808.9997232
81,81,Thai Binh,Nghe An,561.9904535
82,82,Thai Binh,Hue,749.1403784
83,83,Thai Binh,Dak Lak,1019.884264
84,84,Thai Binh,Binh Dinh,1012.947991
85,85,Thai Binh,Quang Ngai,865.9078912
86,86,Thai Binh,Phu Yen,1034.977141
87,87,Thai Binh,Ha Tinh,587.1249114
88,88,Thai Binh,Quang Binh,657.4745639
89,89,Thai Binh,Gia Lai,935.1941993
90,90,Quang Ninh,Quang Nam,853.6066989
91,91,Quang Ninh,Nghe An,606.5974292
92,92,Quang Ninh,Hue,793.7473541
93,93,Quang Ninh,Dak Lak,1064.49124
94,94,Quang Ninh,Binh Dinh,1057.554967
95,95,Quang Ninh,Quang Ngai,910.5148669
96,96,Quang Ninh,Phu Yen,1079.584116
97,97,Quang Ninh,Ha Tinh,631.7318871
98,98,Quang Ninh,Quang Binh,702.0815396
99,99,Quang Ninh,Gia Lai,979.801175
100,100,Quang Nam,Ho Chi Minh,744.1482139
101,101,Quang Nam,Can Tho,844.3031449
102,102,Quang Nam,Dong Nai,761.9740933
103,103,Quang Nam,Khanh Hoa,1030.928723
104,104,Quang Nam,Vung Tau,783.5646603
