city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Ho Chi Minh City,10.8167,106.6333,Vietnam,VN,Hồ Chí Minh,admin,13312000,7431000
Hanoi,21.0245,105.8412,Vietnam,VN,Hà Nội,primary,7785000,7785000
Haiphong,20.8000,106.6667,Vietnam,VN,Hải Phòng,admin,2103500,2103500
Cần Thơ,10.0333,105.7833,Vietnam,VN,Cần Thơ,admin,1237300,1237300
Biên Hòa,10.9277,106.8681,Vietnam,VN,Đồng Nai,admin,1104000,1104000
Thủ Đức,10.8199,106.7909,Vietnam,VN,Hồ Chí Minh,minor,1013795,1013795
Quảng Hà,16.0600,108.2500,Vietnam,VN,Quảng Nam,,1000000,887069
Bắc Ninh,21.1861,106.0763,Vietnam,VN,Bắc Ninh,admin,520000,520000
Hải Dương,20.9399,106.3309,Vietnam,VN,Hải Dương,admin,507469,507469
Vinh,18.6733,105.6922,Vietnam,VN,Nghệ An,admin,490000,490000
Huế,16.4637,107.5908,Vietnam,VN,Thừa Thiên-Huế,admin,455230,455230
Thanh Hóa,19.8075,105.7764,Vietnam,VN,Thanh Hóa,admin,393294,393294
Nha Trang,12.2495,109.1908,Vietnam,VN,Khánh Hòa,admin,392279,392279
Nam Định,20.4200,106.1683,Vietnam,VN,Nam Định,admin,352108,352108
Buôn Ma Thuột,12.6667,108.0500,Vietnam,VN,Đắk Lắk,admin,340000,340000
Thái Nguyên,21.6000,105.8500,Vietnam,VN,Thái Nguyên,admin,330000,330000
Vũng Tàu,10.4042,107.1417,Vietnam,VN,Bà Rịa-Vũng Tàu,admin,327000,327000
Cà Mau,9.1833,105.1500,Vietnam,VN,Cà Mau,admin,315270,315270
Quy Nhơn,13.7696,109.2314,Vietnam,VN,Bình Định,admin,311000,311000
Sóc Trăng,9.6000,105.9719,Vietnam,VN,Sóc Trăng,admin,300000,173922
Long Xuyên,10.3686,105.4234,Vietnam,VN,An Giang,admin,278658,278658
Việt Trì,21.3136,105.3947,Vietnam,VN,Phú Thọ,admin,277539,277539
Thái Bình,20.4461,106.3422,Vietnam,VN,Thái Bình,admin,268167,268167
Quảng Ngãi,15.1206,108.7922,Vietnam,VN,Quảng Ngãi,admin,260252,260252
Ấp Đa Lợi,11.9304,108.4200,Vietnam,VN,Lâm Đồng,,256019,131377
Rạch Giá,10.0125,105.0808,Vietnam,VN,Kiến Giang,admin,250660,250660
Thủ Dầu Một,11.0042,106.6583,Vietnam,VN,Bình Dương,admin,244277,244277
