start,end,cost
Ha Noi,Quang Nam,573.5292237
Ha Noi,Nghe An,326.519954
Ha Noi,Hue,513.6698789
Ha Noi,Dak Lak,784.413765
Ha Noi,Binh Dinh,722.3367896
Ha Noi,Quang Ngai,630.4373917
Ha Noi,Phu Yen,766.9002738
Ha Noi,Ha Tinh,351.6544119
Ha Noi,Quang Binh,422.0040645
Ha Noi,Gia Lai,699.7236998
Hai Phong,Quang Nam,659.0355312
Hai Phong,Nghe An,412.0262615
Hai Phong,Hue,599.1761864
Hai Phong,Dak Lak,869.9200725
Hai Phong,Binh Dinh,807.8430971
Hai Phong,Quang Ngai,715.9436992
Hai Phong,Phu Yen,852.4065813
Hai Phong,Ha Tinh,437.1607194
Hai Phong,Quang Binh,507.5103719
Hai Phong,Gia Lai,785.2300073
Bac Ninh,Quang Nam,608.2371126
Bac Ninh,Nghe An,361.2278429
Bac Ninh,Hue,548.3777678
Bac Ninh,Dak Lak,819.1216539
Bac Ninh,Binh Dinh,757.0446785
Bac Ninh,Quang Ngai,665.1452806
Bac Ninh,Phu Yen,801.6081627
Bac Ninh,Ha Tinh,386.3623008
Bac Ninh,Quang Binh,456.7119533
Bac Ninh,Gia Lai,734.4315887
Hai Duong,Quang Nam,629.5127905
Hai Duong,Nghe An,382.5035209
Hai Duong,Hue,569.6534457
Hai Duong,Dak Lak,840.3973318
Hai Duong,Binh Dinh,778.3203565
Hai Duong,Quang Ngai,686.4209585
Hai Duong,Phu Yen,822.8838407
Hai Duong,Ha Tinh,407.6379788
Hai Duong,Quang Binh,477.9876313
Hai Duong,Gia Lai,755.7072667
Thanh Hoa,Quang Nam,320.7813187
Thanh Hoa,Nghe An,73.77204905
Thanh Hoa,Hue,260.9219739
Thanh Hoa,Dak Lak,531.66586
Thanh Hoa,Binh Dinh,469.5888847
Thanh Hoa,Quang Ngai,377.6894867
Thanh Hoa,Phu Yen,514.1523689
Thanh Hoa,Ha Tinh,98.90650698
Thanh Hoa,Quang Binh,169.2561595
Thanh Hoa,Gia Lai,446.9757949
Nam Dinh,Quang Nam,620.0849978
Nam Dinh,Nghe An,373.0757281
Nam Dinh,Hue,560.225653
Nam Dinh,Dak Lak,830.9695391
Nam Dinh,Binh Dinh,768.8925638
Nam Dinh,Quang Ngai,676.9931658
Nam Dinh,Phu Yen,813.4560479
Nam Dinh,Ha Tinh,398.2101861
Nam Dinh,Quang Binh,468.5598386
Nam Dinh,Gia Lai,746.279474
Thai Nguyen,Quang Nam,594.0320682
Thai Nguyen,Nghe An,347.0227985
Thai Nguyen,Hue,534.1727234
Thai Nguyen,Dak Lak,804.9166095
Thai Nguyen,Binh Dinh,742.8396342
Thai Nguyen,Quang Ngai,650.9402362
Thai Nguyen,Phu Yen,787.4031183
Thai Nguyen,Ha Tinh,372.1572564
Thai Nguyen,Quang Binh,442.506909
Thai Nguyen,Gia Lai,720.2265443
Phu Tho,Quang Nam,560.3373909
Phu Tho,Nghe An,313.3281212
Phu Tho,Hue,500.4780461
Phu Tho,Dak Lak,771.2219322
Phu Tho,Binh Dinh,709.1449569
Phu Tho,Quang Ngai,617.2455589
Phu Tho,Phu Yen,753.708441
Phu Tho,Ha Tinh,338.4625791
Phu Tho,Quang Binh,408.8122317
Phu Tho,Gia Lai,686.531867
Thai Binh,Quang Nam,628.7768881
Thai Binh,Nghe An,381.7676184
Thai Binh,Hue,568.9175433
Thai Binh,Dak Lak,839.6614294
Thai Binh,Binh Dinh,777.584454
Thai Binh,Quang Ngai,685.6850561
Thai Binh,Phu Yen,822.1479382
Thai Binh,Ha Tinh,406.9020763
Thai Binh,Quang Binh,477.2517288
Thai Binh,Gia Lai,754.9713642
Quang Ninh,Quang Nam,683.6072411
Quang Ninh,Nghe An,436.5979714
Quang Ninh,Hue,623.7478963
Quang Ninh,Dak Lak,894.4917824
Quang Ninh,Binh Dinh,832.414807
Quang Ninh,Quang Ngai,740.5154091
