Province,Ho Chi Minh,Ha Noi,Hai Phong ,Can Tho,Dong Nai,Quang Nam ,Bac Ninh,Hai Duong,Nghe An,Hue,Thanh Hoa,Khanh Hoa ,Nam Dinh,Dak Lak,Thai Nguyen,Vung Tau,Ca Mau,Binh Dinh,Soc Trang,An Giang,Phu Tho,Thai Binh,Quang Ngai,Lam Dong,Binh Duong,Phu Yen,Bac Lieu,Dong Thap,Binh Thuan,Ninh Thuan,Quang Ninh,Ha Tinh,Quang Binh,Lang Son,Gia Lai,Long An,Tra Vinh,Ninh Binh,Tay Ninh,Tien Giang,Haa Binh,Kon Tum,Vinh Long,Hau Giang,Yen Bai,Quang Tri,Lao Cai,Ben Tre,Bac Giang,Cao Bang,Binh Phuoc,Ha Giang,Tuyen Quang,Bac Kan,Son La,Ha Nam,Hung Yen,Kien Giang,Lai Chau,Da Nang,Dak Nong,Dien Bien,Vinh Phuc,Latitude,Longitude
Ho Chi Minh,0.0,676.8580729166666,651.1910895,72.5316718,17.8258793125,348.5154696333333,677.163319,660.5542469166667,497.13894426,374.6206307666667,589.2905964166667,175.28337248333335,627.2352589999999,152.40493566666666,704.8272110833334,39.41644635833334,140.09177221666667,254.85094005,86.84523020833332,97.42653229166666,688.9144698333333,628.5084860833334,313.62669170000004,136.01329128333333,12.057379296666669,226.58064204999997,112.84877426666665,67.385439275,97.17839296666666,158.05035575,665.9310110833334,493.950068325,435.9971238,719.21004925,225.53607194999998,21.42099101333333,57.021038923333336,617.1695938333335,49.850402880833336,32.73512359833334,657.3861740833332,249.72764664166667,53.92176325083334,98.25282751666667,718.1351368333333,393.02614359166665,773.9117446666667,38.21755788666666,682.4585920833332,773.1090733333334,57.59310699916667,789.2026438333335,723.36283775,740.5665855,562.1008696,638.7270394166666,655.764599,147.72658290833334,780.8391645833333,357.08108799999997,115.13651572500001,749.3082963333334,690.9582907500001,10.7638,106.6436
Ha Noi,676.8580729166666,0.0,73.72508476666667,720.7401926666665,667.9118938333334,383.06962015000005,34.70788886833334,51.643739717500004,160.33990250833332,329.22946344166667,87.90307814166665,639.6371724166667,61.56799535833333,571.8710398333334,36.50157518,703.8968755000001,775.9996865833333,530.742541,749.2126734166667,677.7046249166666,13.1918327975,67.78982834166666,439.8682101916666,624.2751264166667,668.6819819166667,573.0766141916666,769.3078505,692.8715978333333,682.1639620833333,657.8623963333334,107.35575036666665,183.00136178333335,246.4373342083333,88.54516696666666,490.196378525,690.4376465000001,728.655536,64.0774358,638.55265775,701.9613416666667,23.15085997,464.19931080833334,706.7548355,736.7552115,53.058603569999995,297.466095675,123.23806769166666,709.670367,42.628633985,109.22220341666667,619.3580353333333,113.74731118333334,48.05277460666666,68.73426425833333,96.9932264,44.017361045,36.130166485,731.3341845833332,154.40145466666667,369.17820689166666,590.3875051666666,151.06533744166666,14.6746811925,21.1382,105.505
Hai Phong ,651.1910895,73.72508476666667,0.0,700.7613165,640.6779405833333,335.44349463333333,43.66583979333333,22.290550485,150.27449167499998,287.03263895833334,84.15504842499999,596.6929243333333,39.039634684166664,534.6609046916667,71.659716275,675.1724536666667,759.6847165833334,482.99955981666665,727.9975540833333,662.41623525,83.92095652500001,30.25864309416667,391.13480408333334,585.7298994166666,642.1302113333334,526.58661685,749.6079902500001,673.97294125,646.6344587500001,616.4228764166667,39.169453248333326,166.06073930833332,215.23981214166668,68.20813603333333,450.84267800833334,666.4177893333333,705.1353610000001,54.973380449166676,616.5723876666667,678.3264051666666,80.62610616666667,424.1878389583333,685.5617014166667,718.7015739166667,123.52322925833332,260.476749925,192.38477475000002,685.8385969166667,41.94438191416667,124.10183636666667,593.6777851666667,165.86841407500003,110.195957375,100.96443816666667,170.1349853,47.27696540583334,39.54833925583333,719.5431955833334,226.54631813333336,322.083230175,556.8994081583334,224.7904043,76.91565221666666,20.8,106.6667
Can Tho,72.5316718,720.7401926666665,700.7613165,0.0,90.32128653333334,412.0190258916667,723.8697509166666,708.4893964166666,560.6275397333334,432.54713897500005,634.190018,245.99062850833334,674.3608165,223.56990331666665,750.5060675000001,90.01672586666668,68.43308511666666,326.612202875,30.590942526666666,60.67442424166667,732.3126550833333,676.5271543333332,381.09777976666663,208.21781819999998,84.48285055,299.0994077166667,48.84915756583334,29.318341214166665,162.48560282500003,227.15454795833335,718.2134166666667,539.228587625,486.114311375,768.9694419166666,292.13031236666666,51.177494515,36.188752215,663.2624460000001,85.40311704166666,41.61655458333333,700.2761091666667,314.85723908333335,18.902469419166668,25.730816795833334,759.1322514999999,447.08289231666663,811.3086543333334,40.46060984,729.7349780000001,820.6335923333334,117.12184388333334,831.3505001666667,766.1102499166666,786.2789211666666,741.9894270833333,684.5968960833333,702.1499105833334,82.48453056666668,814.976141,419.49754349999995,185.684427425,781.7016841666667,735.1266673333333,10.0333,105.7833
Dong Nai,17.8258793125,667.9118938333334,640.6779405833333,90.32128653333334,0.0,334.2053593666667,667.4291551666666,650.4935785833334,507.94091629166667,362.07322421666663,580.1819794166666,157.83598360833332,617.4442878333334,135.52077933333334,695.3494158333334,38.1849435275,157.66375263333333,237.55770260833333,103.41680731666666,112.59324579999999,680.0877603333333,618.46316175,297.99176470000003,118.2094998,6.5678731475,208.83811929166666,129.58732453333332,84.37816671666666,82.19650518333333,141.12386143333333,654.6271223333333,484.91282326666675,425.687722775,708.57366475,210.42824757500003,39.15488298166667,72.55130306666666,607.6835613333333,55.13416390416667,49.965510863333336,648.7399111666667,235.09339204166665,71.74541867500001,116.04891176666666,709.934568,381.63926395,766.6264281666666,54.64514524,672.5585760833333,763.05151825,49.89822919666667,780.6133766666666,714.676123,731.04270925,699.3360441666666,629.2745450833334,646.1458220000001,165.02573604999998,774.420059,343.11753023333335,98.728233975,743.3901259166666,681.9158383333332,10.9277,106.8681
Quang Nam ,348.5154696333333,383.06962015000005,335.44349463333333,412.0190258916667,334.2053593666667,0.0,371.3256832833333,350.79597315000007,244.25225924166668,59.859344824999994,299.8835312083334,262.1447941,323.5081978333333,209.09951784166668,401.3703030166667,363.02143021666666,478.80322874999996,147.94103496666668,433.8301422,392.51832491666664,396.2452685333334,320.79824455000005,56.90816798916667,256.17587356666667,337.48602055,191.17328725833335,458.7839373833333,390.66317861666664,320.7290837916667,282.90640478333336,339.29088106666666,219.62150180833333,149.83307605,399.23702169166665,125.27842296666667,367.5922327,405.5007018999999,319.0027967583334,328.01915918333333,379.89509005,369.765604075,99.36994713333334,394.05035640833336,434.86710645,433.5756380083333,98.00779444166668,500.74056929166665,386.384985875,373.93394914166663,458.965603075,295.2106444583333,495.03312220833334,430.87232259166666,434.84869172500004,445.83207975833335,339.5066238083333,352.86065990000003,456.88983147500005,521.50476665,14.062899678333334,238.80195465,500.6865683166667,394.80706410833335,15.8777,108.3327
Bac Ninh,677.163319,34.70788886833334,43.66583979333333,723.8697509166666,667.4291551666666,371.3256832833333,0.0,22.199730151666664,164.71515369166667,320.2038228083333,91.28718474166666,630.9538771666666,50.01991285083333,566.1559471166668,30.135193410000003,702.7172139166667,780.9379240833334,519.2532721833334,751.7815654999999,683.00056475,42.040025702499996,50.65001394833334,427.6546852083333,617.9362898333333,668.5387205000001,562.3510068166667,772.62870125,696.4812930833333,677.4820803333333,650.017732,73.33139846666667,184.758885675,242.38181193333332,59.46025365,483.19779485833334,691.5701881666666,730.080771,60.79653696666666,640.6016248333332,703.2971808333333,50.74156869833333,456.7928217416666,709.28219775,740.8242455833334,80.30081634166666,290.95258855833333,148.73896514166665,710.9199101666667,9.118331215000001,97.04735751666666,619.570469,124.91973800833334,66.59354035833333,64.26375176666666,131.06591149166667,40.187203956666664,21.93675300833333,738.3306694166666,183.38135940833334,357.68221084166663,586.6310024166667,183.650115425,33.927780483333336,21.1861,106.0763
Hai Duong,660.5542469166667,51.643739717500004,22.290550485,708.4893964166666,650.4935785833334,350.79597315000007,22.199730151666664,0.0,152.14600794166665,300.571814375,80.8456831,611.0793050833333,35.14760400083333,547.2929926333333,51.76755694833333,685.4665679166666,766.3806745,498.65624205833336,736.1205448333333,668.7018765,61.631411449999995,32.047094135,406.94051545,598.8191165833334,651.7453174166666,541.9307114666667,757.3014586666667,681.3498568333333,658.90334475,630.390313,57.242614257499994,170.48126614166665,224.88326688333333,64.30634449166666,463.97565917500003,675.3093917499999,713.9196995,49.48163240416667,624.7965960833333,687.1168389166667,60.74475709166666,437.46488216666665,693.6346083333334,725.8753156666667,101.31448990833333,272.27267987500005,170.43949795833336,694.6954688333334,23.137981649999997,112.56260849166667,602.9728623333334,146.67337014166665,88.665624775,84.0533218,148.40421528333334,33.86975051833333,19.85340035,724.8485883333334,204.29467391666668,337.2389444666667,568.4615333833333,202.66374613333335,54.71537693416667,20.9399,106.3309
Nghe An,497.13894426,160.33990250833332,150.27449167499998,560.6275397333334,507.94091629166667,244.25225924166668,164.71515369166667,152.14600794166665,0.0,185.32363260833333,73.77204905,488.65096997500007,117.01166744166667,416.60937972499994,190.13928535000002,544.1856898333333,616.6932887500001,387.05725823333336,588.9749506666667,518.5971438666667,172.27086053333332,121.69738122500002,300.26718825833336,469.5898599,508.5988492083334,426.929341825,609.2633592500001,532.905759225,525.1868099333334,505.30025379166665,179.66449544166665,25.13445792083333,95.37751113333334,215.94237355833332,337.592545675,530.1122513166666,568.3160525583334,104.00465938333333,478.22973549166664,541.6245939416666,140.80034243333333,312.665836525,546.5024518333333,576.98702355,202.71489069999998,148.83888961666668,264.0203101083333,549.3366481166667,171.44565240833333,261.72180825,459.201738975,272.6777393666667,206.74131397500003,225.84658524166665,389.75872864,124.74274849166666,142.78386208333333,573.6193160833334,280.0008146833334,230.27939567500002,432.7433117,256.9365570333333,174.60437347500002,18.6733,105.6922
Hue,374.6206307666667,329.22946344166667,287.03263895833334,432.54713897500005,362.07322421666663,59.859344824999994,320.2038228083333,300.571814375,185.32363260833333,0.0,244.09650055000003,310.82651716666663,271.21498010833335,248.046043,349.93655176666664,394.1841332916666,496.94337163333336,202.76783105833334,456.9353913833333,405.19081085,342.32360925,269.5737996583333,114.98031591666668,298.72487855,364.45014555833336,244.16345648333336,480.71598779166663,408.62430665,360.340900325,329.8386886083333,295.5895915,160.4757315,90.316543275,353.04975387499996,163.86714534166668,392.0662759416667,430.7713907583333,265.28196205,347.18640845000004,404.32991509166663,314.61220431666663,137.16688900833333,415.5399231083333,453.65429100833336,378.5587002166667,38.19853345,444.6005743666667,411.370266125,323.6029773083334,411.1344620833333,318.4676465833333,442.28455594166667,377.2573471333333,384.32080913333334,387.90619250833333,286.31681160833335,300.7435309666666,467.9902476666667,463.9711783,46.42659845833334,272.4541978666667,442.17373345833334,341.58833852500004,16.4637,107.5908
